,Nama Products,Harga,Keterangan Pajak,Rating,Jumlah Reviewer
0,Hair Energy Fibertherapy Hair & Scalp Creambath Ginseng Extract 30 mL,Rp 6.710 ,Termasuk PPN,"
Rated 5.00 out of 5 2
",2
1,Makarizo VITAGLITZ Hair Serum REVITALIZING CARE – Serum Rambut Tube 8 mL,Rp 12.760,Termasuk PPN,"
Rated 5.00 out of 5 4
",4
2,T1 Techno Nature Equalizer Conditioner 180 mL,Rp 52.500,Termasuk PPN,"
Rated 5.00 out of 5 5
",5
3,T1 Techno Nature Equalizer Shampoo 180 mL,Rp 60.000,Termasuk PPN,"
Rated 4.80 out of 5 5
",5
4,T1 Techno Nature Micellar Conditioner 180 mL,Rp 52.500,Termasuk PPN,"
Rated 5.00 out of 5 4
",4
5,T1 Techno Nature Micellar Shampoo 180 mL,Rp 60.000,Termasuk PPN,"
Rated 5.00 out of 5 4
",4
6,Advisor Hair Recovery Vitamax 8 mL X 3,Rp 26.400,Termasuk PPN,"
Rated 4.67 out of 5 6
",6
7,Hair Energy Fibertherapy Conditioning Shampoo Olive Sachet 10 mL (10X12),Rp 10.200,Termasuk PPN,"
Rated 4.67 out of 5 6
",6
8,Hair Energy Fibertherapy Conditioning Shampoo Aloe & Melon Sachet 10 mL (10X12),Rp 10.200,Termasuk PPN,"
Rated 4.86 out of 5 7
",7
9,Hair Energy Fibertherapy Conditioning Shampoo Kiwi Sachet 10 mL (10X12),Rp 10.200,Termasuk PPN,"
Rated 4.86 out of 5 7
",7
10,Hair Energy Fibertherapy Conditioning Shampoo Royal Jelly Sachet 10 mL (10X12),Rp 10.200,Termasuk PPN,"
Rated 5.00 out of 5 7
",7
11,Hair Energy Fibertherapy Hair & Scalp Creambath Aloe & Melon 15 mL,Rp 3.080 ,Termasuk PPN,"
Rated 4.75 out of 5 8
",8
